category,rating,label,text,validity
Movies_and_TV_5,5,CG,"There are some nice really nice extras, as well. I will admit that I didn't see the",1
Movies_and_TV_5,4,CG,We used it for a weekend. The movie was just too slow. There were too many scenes.,1
Movies_and_TV_5,5,CG,Great movie. One of the better ones I've seen in a long time.This movie was one,1
Movies_and_TV_5,5,CG,"Love Poirot, what can I say? The movie is just too slow.",1
Movies_and_TV_5,4,CG,I enjoy watching this movie.  I love the movie.  It's one of the funniest,1
Movies_and_TV_5,5,CG,"He will keep you captive, and you will feel no remorse.  This is the ultimate one.",1
Movies_and_TV_5,5,CG,"This is a good movie, it shows the long history of the U. S.",1
Movies_and_TV_5,3,CG,"A bit more exciting than the first, but the third is a lot more predictable.",1
Movies_and_TV_5,5,CG,He loves it and the music is great.  The video is nice and the picture is pretty good,1
Movies_and_TV_5,5,CG,"one of Robert redford's finest, an entertaining movie, and one of his best, the movie",1
Movies_and_TV_5,5,CG,Love this movie!! Very funny and an entertaining movie!Very good movie.,1
Movies_and_TV_5,5,CG,Kids love the movie and the music and the movie is good.  If you have a collection of,1
Movies_and_TV_5,4,CG,"I love Angelina Jolie that's what I love.  Her acting is top notch, the",1
Movies_and_TV_5,5,CG,Great movie and even cheaper than the original.  Not for everyone.  The movie was pretty good,1
Movies_and_TV_5,5,CG,Love Jeff Dunham's comedy. He plays an ex-military man who is now a gay man.,1
Movies_and_TV_5,2,CG,"Was boring in some instances, but the movie was fun.

The story was interesting and the",1
Movies_and_TV_5,5,CG,One of the best that I have seen.  Not too many people make it to the end.,1
Movies_and_TV_5,5,CG,I love NOVA shows! They are an entertaining show and they are a must for my collection!,1
Movies_and_TV_5,4,CG,Good movie and Russell Crowe is an amazing actor. He is a great actor.,1
Movies_and_TV_5,4,CG,"Wild and crazy movie, a little slow at times, but I will admit that it's a pretty",1
Movies_and_TV_5,3,CG,"Didn't care much for it, it was just too funny.

The only reason I",1
Movies_and_TV_5,3,CG,"Very hackneyed and a clone of an original movie, which is a shame because it's been",1
Movies_and_TV_5,5,CG,"Great characters & settings. Multi-layered, anamorphic, and color.",1
Movies_and_TV_5,5,CG,"A classic old timer. A little slow at times, but good enough to make a good movie.",1
Movies_and_TV_5,5,CG,"For my husband, but a little more than half the time I will admit that I have been tempted",1
Movies_and_TV_5,4,CG,"If you like Hallmark movies, this is the movie to watch.  The only reason I gave",1
Movies_and_TV_5,5,CG,One of the best nature documentaries ever made.  Highly recommended.  Thank you!Very good.,1
Movies_and_TV_5,2,CG,"If not for Bela Lugosi, this movie is an interesting and intriguing history.",1
Movies_and_TV_5,5,CG,"Fantastic Movie, ending scene is a real shame.  Not a great ending for a movie",1
Movies_and_TV_5,5,CG,"Great movie, don't miss it.The movie was okay, but I didn't like it.",1
Movies_and_TV_5,4,CG,"For those who enjoy origin stories, the story is a good one. There is a strong story line",1
Movies_and_TV_5,1,CG,Not a well acted movie. Not an entertaining movie. Not a good movie. Not a good movie,1
Movies_and_TV_5,4,CG,"Good movie can't say more about it, but it is a great movie for a family movie night",1
Movies_and_TV_5,5,CG,"Everyone must have this movie, especially if you are a fan of the original Star Trek.",1
Movies_and_TV_5,5,CG,"GREAT product, as described. FAST shipment. Great movie!Very good movie.",1
Movies_and_TV_5,3,CG,"Interesting movie.  The things that made the movie so funny are its plot, the acting,",1
Movies_and_TV_5,5,CG,Even better than when I saw it at the theater. I saw it for the first time and am,1
Movies_and_TV_5,2,CG,Good movie could have been better. The story line is good but the characters are too short and the,1
Movies_and_TV_5,5,CG,"...as a curmudgeon with a few more professional skills, and a cold hearted, hard",1
Movies_and_TV_5,5,OR,This is what I call a thriller. OMG.,0
Movies_and_TV_5,4,OR,Sometimes it is hard to get into a different reality.,0
Movies_and_TV_5,3,OR,Too much vile language!! Couldn't finish it.,0
Movies_and_TV_5,5,OR,Them is an old movie. I like watching James whitmore,0
Movies_and_TV_5,4,OR,Interesting film and great cast of actors - worth watching.,0
Movies_and_TV_5,4,OR,Got this for my Dad - one of his favorite,0
Movies_and_TV_5,5,OR,A unique view how kids view the adult working world.,0
Movies_and_TV_5,4,OR,very cool new twist on horror. i enjoyed this film,0
Movies_and_TV_5,2,OR,This show is getting worse and worse by the episode.,0
Movies_and_TV_5,5,OR,Love the show! Glad to be able to watch again!,0
Movies_and_TV_5,5,OR,"Wow...lots of action twists, turns, and subplots.  Really good.",0
Movies_and_TV_5,5,OR,Wonderful hard to find series.  Enjoy it a lot.,0
Movies_and_TV_5,5,OR,"Great price, quick ship, Plays and looks as it should!",0
Movies_and_TV_5,5,OR,Fast shipping and batteries fit and function well. Great price.,0
Movies_and_TV_5,3,OR,It was beautiful to watch but didn't keep my attention.,0
Movies_and_TV_5,4,OR,Classic film one of my favorite of its time era,0
Movies_and_TV_5,5,OR,I have visited Auschwitz & found this story very interesting.,0
Movies_and_TV_5,5,OR,Enjoyed seeing Dumbo again I had forgotten some of it.,0
Movies_and_TV_5,5,OR,Hilarious.  Differs from book but still fun and funny...recommended.,0
Movies_and_TV_5,5,OR,really fun  they got better fm.,0
Movies_and_TV_5,1,OR,Remarkably flat and wooden dialog; must have taken some doing.,0
Movies_and_TV_5,5,OR,Grandchildren loved these.  Great learning and preparing for school.,0
Movies_and_TV_5,5,OR,Great series and enjoying watching it several time a year.,0
Movies_and_TV_5,5,OR,"Easily my fave of the Beatdown movies,  It ROCKS!",0
Movies_and_TV_5,5,OR,DVD is great movie to watch and will love it,0
Movies_and_TV_5,5,OR,"Trs bonne qualit, rapport prix/$$$ excellent, je recommande ce produit.",0
Movies_and_TV_5,5,OR,"Came from a library somewhere down south, works just fine",0
Movies_and_TV_5,5,OR,Please do not pass this one up; worth the watch.,0
Movies_and_TV_5,5,OR,"Great compendium of Luciano, the best voice of the century.",0
Movies_and_TV_5,5,OR,I should have brought the movie instead of renting it,0
Movies_and_TV_5,5,OR,I love all the 24's this is so good also,0
Movies_and_TV_5,4,OR,"A great fencing movie. Not deep characterization, but fun enough.",0
Movies_and_TV_5,2,OR,"Not a very good copy, not a very good movie",0
Movies_and_TV_5,5,OR,good family series.  with they had made more episodes,0
Movies_and_TV_5,5,OR,this was a fabulous movie. wow! just a wonderful movie,0
Movies_and_TV_5,5,OR,Who doesn't need the Rocky triligy for their dvd library?,0
Movies_and_TV_5,4,OR,"Classic syfi, with all the modern bells and whistles !!",0
Movies_and_TV_5,5,OR,"This is really different, and I like it a lot.",0
Movies_and_TV_5,5,OR,About half way through with the season and it's fantastic!,0
Movies_and_TV_5,4,CG,"This was a good movie, but the plot was just too long.

The movie has a",1
Movies_and_TV_5,1,CG,"Poor film - poor direction, poor acting, poor script. I saw it for the first time last",1
Movies_and_TV_5,5,CG,Love this movie  all time.  It's a good movie.  It's a good movie,1
Movies_and_TV_5,4,CG,I gave as a gift; it was the only one I was interested in!  I was just,1
Movies_and_TV_5,5,CG,Loved it thoroughly.  A definite must watch.  Highly recommend it.If you are a,1
Movies_and_TV_5,5,CG,The special features are well presented. The movie is a good history lesson for those who are interested in,1
Movies_and_TV_5,5,CG,Perfect condition. Exactly as pictured.I love the movie. I saw it on a VHS and,1
Movies_and_TV_5,5,CG,"first season was really good, and the chemistry between these two characters was also great.",1
Movies_and_TV_5,5,CG,"Love this series, but it doesn't have the feel of the previous series, and the acting is",1
Movies_and_TV_5,4,CG,"great movie it shows the true nature of the human spirit.

The story is very well done",1
Movies_and_TV_5,5,CG,"wow this is so good, it's an awesome show.

If you're a fan of",1
Movies_and_TV_5,5,CG,"Very heart warming, scenes were beautiful and the story was very good.  There were a few moments",1
Movies_and_TV_5,4,CG,"Another great movie by Russell Crowe, with a twist of a plot that makes the viewer believe he",1
Movies_and_TV_5,5,CG,I was all in. Best part of the movie.Very good movie.Nice story about a couple,1
Movies_and_TV_5,5,CG,This is my current favorite movie. The story is very good and the characters are very believable.,1
Movies_and_TV_5,4,CG,"I remember these times, interesting time period, with the sound of the orchestra playing a variety of songs",1
Movies_and_TV_5,5,CG,"Outstanding. Violent. Buscemi (sp?) at the end, with the exception of a",1
Movies_and_TV_5,5,CG,One of the all time best movies I ever saw. I saw it for the first time last night,1
Movies_and_TV_5,5,CG,My wife enjoyed it very much. The movie was very good. She also enjoyed the music and the,1
Movies_and_TV_5,5,CG,"the best spooky house I've ever seen.  The two women are lovely, the three men",1
Movies_and_TV_5,5,CG,best stories and best acting.  The story is a good one.  The acting is pretty good,1
Movies_and_TV_5,5,CG,Fantastic and an all time favorite. The movie is a must see.,1
Movies_and_TV_5,2,CG,no where near as good as the original.  The two women are also very well done and the,1
Movies_and_TV_5,4,CG,I don't get why the writers of the movie didn't write it as they did the movie.,1
Movies_and_TV_5,2,CG,Waste of time watching this movie. The only reason I gave it 4 stars is because I just,1
Movies_and_TV_5,2,CG,"It was ok, but it was an entertaining movie.Very good movie.Nice story, but not",1
Movies_and_TV_5,5,CG,"I'm waiting on the next season to be released on DVD.

If you're a fan",1
Movies_and_TV_5,5,CG,"A great comedian and a great actor, the movie is a great deal of fun.",1
Movies_and_TV_5,5,CG,"I didn't find this movie to be entertaining.  I was expecting more of a thriller, and",1
Movies_and_TV_5,5,CG,Absolutely love this movie! Just what I wanted!Watched this movie on my 2nd viewing and,1
Movies_and_TV_5,5,CG,"other than being a Disney film.) The movie is a good one.

The movie has a",1
Movies_and_TV_5,5,CG,"this was a gift,my son loved it and i hope they continue to produce more of the same",1
Movies_and_TV_5,5,CG,"Good product. Received it in time.Great movie!Very good movie.Nice story, but not",1
Movies_and_TV_5,5,CG,"They don't make 'em like that. The movie is just too full of action, too strong",1
Movies_and_TV_5,5,CG,"All heart warming movies and some of the best acting in recent memory.

The movie has a",1
Movies_and_TV_5,4,CG,Typical 50's Sci-Fi for fans of the 80's and 90's.,1
Movies_and_TV_5,5,CG,One of my favorite series.  I love the movie.  My husband and I both enjoy the,1
Movies_and_TV_5,5,OR,Perfect condition. Exactly as pictured and described. Very pleased with purchase.,0
Movies_and_TV_5,5,OR,"An interesting twist on an action flick, well done 5 stars.",0
Movies_and_TV_5,5,OR,A wonderful escape to a period in history not often discussed!,0
Movies_and_TV_5,5,OR,one of the best shows. i'd say the picture is 720p,0
